movieId,title,rating,imdbId,tmdbId,content
1,Toy Story (1995),3.92,114709,862.0,Adventure Animation Children Comedy Fantasy fun pixar
2,Jumanji (1995),3.43,113497,8844.0,Adventure Children Fantasy Robin Williams fantasy game magic board game
3,Grumpier Old Men (1995),3.26,113228,15602.0,Comedy Romance moldy old
4,Waiting to Exhale (1995),2.36,114885,31357.0,Comedy Drama Romance 
5,Father of the Bride Part II (1995),3.07,113041,11862.0,Comedy pregnancy remake
6,Heat (1995),3.95,113277,949.0,Action Crime Thriller 
7,Sabrina (1995),3.19,114319,11860.0,Comedy Romance remake
8,Tom and Huck (1995),2.88,112302,45325.0,Adventure Children 
9,Sudden Death (1995),3.12,114576,9091.0,Action 
10,GoldenEye (1995),3.5,113189,710.0,Action Adventure Thriller 
11,"American President, The (1995)",3.67,112346,9087.0,Comedy Drama Romance politics president
12,Dracula: Dead and Loving It (1995),2.42,112896,12110.0,Comedy Horror 
13,Balto (1995),3.12,112453,21032.0,Adventure Animation Children 
14,Nixon (1995),3.83,113987,10858.0,Drama politics president
15,Cutthroat Island (1995),3.0,112760,1408.0,Action Adventure Romance 
16,Casino (1995),3.93,112641,524.0,Crime Drama Mafia
17,Sense and Sensibility (1995),3.78,114388,4584.0,Drama Romance Jane Austen
18,Four Rooms (1995),3.7,113101,5.0,Comedy 
19,Ace Ventura: When Nature Calls (1995),2.73,112281,9273.0,Comedy 
20,Money Train (1995),2.5,113845,11517.0,Action Comedy Crime Drama Thriller 
21,Get Shorty (1995),3.49,113161,8012.0,Comedy Crime Thriller Hollywood
22,Copycat (1995),3.22,112722,1710.0,Crime Drama Horror Mystery Thriller serial killer
23,Assassins (1995),3.12,112401,9691.0,Action Crime Thriller 
24,Powder (1995),3.12,114168,12665.0,Drama Sci-Fi 
25,Leaving Las Vegas (1995),3.62,113627,451.0,Drama Romance alcoholism
26,Othello (1995),3.5,114057,16420.0,Drama Shakespeare
27,Now and Then (1995),3.33,114011,9263.0,Children Drama 
28,Persuasion (1995),4.23,114117,17015.0,Drama Romance In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",4.01,112682,902.0,Adventure Drama Fantasy Mystery Sci-Fi kidnapping
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.0,115012,37557.0,Crime Drama 
31,Dangerous Minds (1995),3.18,112792,9909.0,Drama high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.98,114746,63.0,Mystery Sci-Fi Thriller Brad Pitt Bruce Willis Post apocalyptic mindfuck post-apocalyptic remake time travel twist ending
34,Babe (1995),3.65,112431,9598.0,Children Drama Animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),3.84,112818,687.0,Crime Drama Nun death penalty
38,It Takes Two (1995),2.12,113442,33689.0,Children Comedy twins
39,Clueless (1995),3.29,112697,9603.0,Comedy Romance Emma Jane Austen Paul Rudd chick flick funny quotable seen more than once
40,"Cry, the Beloved Country (1995)",4.25,112749,34615.0,Drama In Netflix queue South Africa
41,Richard III (1995),3.7,114279,31174.0,Drama War Shakespeare
42,Dead Presidents (1995),3.0,112819,11443.0,Action Crime Drama 
43,Restoration (1995),3.19,114272,35196.0,Drama England
44,Mortal Kombat (1995),2.54,113855,9312.0,Action Adventure Fantasy 
45,To Die For (1995),3.31,114681,577.0,Comedy Drama Thriller Journalism
46,How to Make an American Quilt (1995),3.07,113347,11861.0,Drama Romance wedding
47,Seven (a.k.a. Se7en) (1995),3.98,114369,807.0,Mystery Thriller mystery serial killer twist ending
48,Pocahontas (1995),3.15,114148,10530.0,Animation Children Drama Musical Romance 
49,When Night Is Falling (1995),3.0,114916,8391.0,Drama Romance 
50,"Usual Suspects, The (1995)",4.24,114814,629.0,Crime Mystery Thriller heist mindfuck suspense thriller tricky twist ending
52,Mighty Aphrodite (1995),3.46,113819,11448.0,Comedy Drama Romance adoption prostitution
53,Lamerica (1994),5.0,110299,49133.0,Adventure Drama 
54,"Big Green, The (1995)",2.33,112499,26441.0,Children Comedy 
55,Georgia (1995),4.0,113158,97406.0,Drama 
57,Home for the Holidays (1995),3.06,113321,9089.0,Drama 
58,"Postman, The (Postino, Il) (1994)",4.03,110877,11010.0,Comedy Drama Romance writing
60,"Indian in the Cupboard, The (1995)",3.24,113419,11359.0,Adventure Children Fantasy 
61,Eye for an Eye (1996),3.75,116260,17182.0,Drama Thriller 
62,Mr. Holland's Opus (1995),3.71,113862,2054.0,Drama music
